"FO182"	"FO266"	"FO267"	"FO269"	"FO270"	"FO300"	"FO301"	"FO359"	"FO360"	"FO433"	"FO442"	"FO443"	"FO444"	"FO445"	"FO446"	"FO448"	"FO451"	"FO453"	"FO454"	"FO455"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"d103ac91ac7be3aeb9b601a3a0d316a0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52269086299303	0	0	0	0	0	"Bacteria"	" Firmicutes"	" Clostridia"	" Christensenellales"	" Christensenellaceae"	" Christensenellaceae_R-7_group"	" uncultured_bacterium"
"307986a21a8bf61b18d95126b5170157"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.74491928657757	0	"Bacteria"	" Firmicutes"	" Bacilli"	" Alicyclobacillales"	" Alicyclobacillaceae"	" Tumebacillus"	""
"c9290b649a331f2e22eb6a9724d24fd0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4461414400536	0	0	0	"Bacteria"	" Firmicutes"	" Bacilli"	" Bacillales"	" Bacillaceae"	""	""
"9e3c9eaf782e72b7dc1f9e5e9bda1c8b"	0	0	0	0	0	0	0	0	0	6.18618114239116	0	0	0	0	0	0	0	0	0	0	"Bacteria"	" Firmicutes"	" Bacilli"	" Bacillales"	" Bacillaceae"	" Paraliobacillus"	" Paraliobacillus_sp."
"fd92ca37e461e787be3a054ee320310e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2970662708857	4.27319524196906	3.31598035112437	"Bacteria"	" Firmicutes"	" Bacilli"	" Bacillales"	" Bacillaceae"	" Bacillus"	""
"b44940d08b84f270aa504d14cdf7cc63"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.28056299018635	"Bacteria"	" Firmicutes"	" Bacilli"	" Bacillales"	" Bacillaceae"	" Bacillus"	""
"e80d84137887657897dc3e4cc66cff4b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.28056299018635	"Bacteria"	" Firmicutes"	" Bacilli"	" Bacillales"	" Bacillaceae"	" Bacillus"	""
"bbe5e6a9c4d217c568cfdee260444ea9"	0	0	0	0	0	5.27811198826435	5.91893045686069	0	0	5.89604384622311	0	0	0	0	0	4.17715846852427	0	0	0	5.31362219766669	"Bacteria"	" Firmicutes"	" Bacilli"	" Bacillales"	" Bacillaceae"	" Bacillus"	""
"cfdcf3723718038ae359bf8e445db39f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.28367621965496	3.27673848969998	5.95111548837075	7.3731147629429	0	0	"Bacteria"	" Firmicutes"	" Bacilli"	" Exiguobacterales"	" Exiguobacteraceae"	" Exiguobacterium"	" Exiguobacterium_sibiricum"
"ed87bf31e5b8e9f8b18fc7502bd90795"	3.22009791656218	0	3.48048144420098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	" Firmicutes"	" Bacilli"	" Exiguobacterales"	" Exiguobacteraceae"	" Exiguobacterium"	" Exiguobacterium_oxidotolerans"
"94b4137de61fa2f7c70de06b262bf6a0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.44766520744263	0	0	0	4.07189263324567	0	"Bacteria"	" Firmicutes"	" Bacilli"	" Exiguobacterales"	" Exiguobacteraceae"	" Exiguobacterium"	""
"fcac82a215cd36220af567ce969e822e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.07389756150994	0	0	0	"Bacteria"	" Firmicutes"	" Bacilli"	" Bacillales"	" Bacillaceae"	" Bacillus"	""
