FO182	FO266	FO267	FO269	FO270	FO300	FO301	FO359	FO360	FO433	FO442	FO443	FO444	FO445	FO446	FO448	FO451	FO453	FO454	FO455	Kingdom	Phylum	Class	Order	Family	Genus	Species
d103ac91ac7be3aeb9b601a3a0d316a0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Christensenellales	 Christensenellaceae	 Christensenellaceae_R-7_group	 uncultured_bacterium
307986a21a8bf61b18d95126b5170157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	Bacteria	 Firmicutes	 Bacilli	 Alicyclobacillales	 Alicyclobacillaceae	 Tumebacillus	
c9290b649a331f2e22eb6a9724d24fd0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae		
9e3c9eaf782e72b7dc1f9e5e9bda1c8b	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Paraliobacillus	 Paraliobacillus_sp.
fd92ca37e461e787be3a054ee320310e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	7	3	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	
b44940d08b84f270aa504d14cdf7cc63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	
e80d84137887657897dc3e4cc66cff4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	
bbe5e6a9c4d217c568cfdee260444ea9	0	0	0	0	0	15	30	0	0	17	0	0	0	0	0	5	0	0	0	18	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	
cfdcf3723718038ae359bf8e445db39f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	20	119	0	0	Bacteria	 Firmicutes	 Bacilli	 Exiguobacterales	 Exiguobacteraceae	 Exiguobacterium	 Exiguobacterium_sibiricum
ed87bf31e5b8e9f8b18fc7502bd90795	20	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Exiguobacterales	 Exiguobacteraceae	 Exiguobacterium	 Exiguobacterium_oxidotolerans
94b4137de61fa2f7c70de06b262bf6a0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	Bacteria	 Firmicutes	 Bacilli	 Exiguobacterales	 Exiguobacteraceae	 Exiguobacterium	
fcac82a215cd36220af567ce969e822e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	
5b6d2913558291638af39346f5ea71ae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	37	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Carnobacteriaceae	 Carnobacterium	
6a38bfa30754ea76202aabd9df61bd7e	0	0	0	0	0	0	0	0	0	0	6	0	0	0	9	0	0	4	0	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Carnobacteriaceae	 Trichococcus	
5235d6abdaeb155108ea7d26b1ffc6e9	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Carnobacteriaceae	 Jeotgalibaca	
7352624fef55f380ddd6f6fe3bfa2b06	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Carnobacteriaceae	 Jeotgalibaca	 uncultured_bacterium
330e83f777ce0554829f1e3ac66151d6	0	0	0	0	0	0	0	0	0	917	0	2541	16	65	0	0	13	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus_cecorum
df506ff6409ea699c1d436963ff2fabf	0	0	0	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus_cecorum
18531757b6d659c6c450ecd50b6bdbaa	0	0	0	0	0	0	0	0	0	0	0	499	0	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus_cecorum
773f47e47bd324bde79ca09115566265	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus_cecorum
9e644a39ae582ca34a47bbc122621707	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	
2f961d217b26302d55020e8bfd613da0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Lactococcus	 Lactococcus_lactis
551202ed68dbe0c6cc6be71c9c5a7a4d	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 Streptococcus_ovis
