	W	Reject null hypothesis
a2550f8b9406b58f3902687fa535409d	1463	True
3c1ad20d9b04dcd2396928dabb4a6790	1461	True
609df950d9e4d16aa5adf031365457d6	1376	True
feb73ff01d6febc208f8a0b13aa892c8	1350	True
8bc2ea46d58eeff6c63b7f14a66a430d	1328	True
e1aa84943277c6c0ed9c5bb65710040c	1283	False
2803be336ecf7318091ec388a9281264	1229	False
c9d275cc18886d5cbfc2e9fd05cd2407	1144	False
46bf3ccfa307ed658562c46dacb6e6c6	1084	False
688c2992656427cdec40abf6f0d2f57d	1039	False
4adc59353d394f314a15dc9f0e25f541	1035	False
8b74083c747bf85b14e1b371878894a3	835	False
a20979c9fa8c3a562023d0cf6b7fc8c4	711	False
8c2ed92027fd6e11b4c8c5b63dc210e3	625	False
56410367a3688a669b7a0f1e797f5097	510	False
5700f32631280a4f8e7875433f75fc2d	473	False
e662a929a52cfb76f266011e5c424572	343	False
8b44396641b5cd1ba11e188c9e1de886	280	False
dde7e8205e9b3cff0c512530621fa159	224	False
8d09bb6a7229a6d1c178aae5b6aec6f9	150	False
46fe0a3193cee953997704cd18acc0e8	136	False
ae2fa4b7346126978298ce46beaf10a5	108	False
f2286a77d0edfd51cbf9047f061592eb	104	False
34808c5968549bc041675c7cecc3e33a	88	False
64c1799b76c2039cf9a9c07725b528b4	85	False
dba125d782d6726b9cfeeeab4945ce6a	85	False
1d1984e2c3fffdfe00eb8906b55e8f72	84	False
07f1659e2edfd3a78cb0190d576408ea	83	False
f11b92767f0737ddb9fe32a3ba3a1fa4	83	False
ed753bb222a16abb99817e7c91d98171	82	False
d10035ff46ffc55aa20b0aebab12c0ae	81	False
99c63596acf2be516832a67fd841c1e3	80	False
6cc9e530d3bb68ec67fb9a514e51e967	78	False
cbe1f333136429b94c77f3275389084b	75	False
be2c12b0e2fb53d02053bb500086f521	65	False
7cc135458cb55760d79759bce1c1e58a	64	False
763dc64fd628284f26b3a2ea9ecb2664	62	False
abb681ea3dd46210f86bbd44dde191e8	59	False
efb5cc68ca290eb2c3fa59b20e97ba25	57	False
46ebe34ecf76b0508ddfe14b02e09734	54	False
1a30d3687c11953d1d33350827d4be27	47	False
223baaa0b263c7e46400105bf50a2355	44	False
2abf5781b8b8b966285f5d7608a595e8	40	False
27a8c1e22a55612b8ec8d025c5f3ce88	40	False
153e622c0abed3bdc6ce705414016ac5	40	False
9385459429dd0961930743f19e328d79	40	False
4f2f3adaf40c18cf79e9fc21f148b7d4	39	False
2f15ac2df72b8468ede3d9fb1fe766e2	39	False
3f33495630da5bc918602e637d8831a6	39	False
3d8b7afd536be0cf8b94863a3245b86d	39	False
a61b72fffb56ab458b9e334d021a4330	39	False
713eadf2bb30bc07489d6c9ab4ff6915	39	False
e042fbb7761b70fc998c40b2ecc9c0f3	38	False
35d77f82b21742e154c0c249c309b3c1	38	False
7f992e364c4bbc3ec980b03f1af66a9e	38	False
401af388e078982331534a8ccb86020d	38	False
f07200d619e8470c25ec921d7d42612e	38	False
ade0e455581815ecacc761b268e11c16	38	False
70486bccbcd2cdc0131fa86dca73a225	38	False
b07b488519fedbf4707d32cccf646a93	38	False
8e037cbb390367a7df480ea97c046937	38	False
09c02057c3ddcd10d8d5d27de0300e95	38	False
b3af490674e9ad1b0c16564d7e89c433	38	False
991dfede6511a223ae8e751ac385dd0b	37	False
d06c1f7b949b7ddaf4111aff90812625	37	False
873ec692cab08cca0a89a649fbdc03b2	37	False
38e03b3c70b7ddcafc7645b002763364	37	False
8006c70085a9e9998674701012dcb99c	37	False
6969a5332ff753860dd0de5b75a1dec7	37	False
7931847d274e94cbe0fea99dd8b3dce9	37	False
e8907b97c10e0c552bea93655bd21a90	37	False
d6e7c1d987068a664cc242bd8e9d2faa	37	False
c9d7b5549bab7141bb5e4238c3e70d08	37	False
c8ce45e060a24eb8fbe71243db8f175a	36	False
6976f440ebbb46838a9c3025400d3b39	36	False
5ed5d21f26c6d13e9e2a8fd5451f5c3c	35	False
054bd6bcac5fa4c50e1cbe481f779554	35	False
a4d03bdd7eae177d52a950ab961018c9	35	False
e2b180c98e7bbde3aa3d643e50de6a68	35	False
84937002a93bdd1cae83be7a64710af6	34	False
e0678f95821cac2e9841969b632e694f	34	False
29c2f93945b777029c503e61f66f8be0	34	False
7597e24f2918f02bc1a338ecac7c0ba7	34	False
1e06f189fa8f43d9195b9d0636f7227b	34	False
1b82ad8254a851ad4d2cd136fc05c274	33	False
562c1345674d9ee3228b51a4f5ba97c9	33	False
354fc075bf100ee179cf5d34aec6a76c	33	False
8d4a729d08b74e91701cca337d31a81d	33	False
da06bec3bdd774d37cfc205fbbd8269b	32	False
b9b8054aad998a73fde2cb72e592ba53	31	False
bfc043f171e5edd42d287d1ca08fdd27	31	False
3138ed35fdd681968eb856d4c6bed25f	30	False
c8a3ac785a1f5f0c2bc04fa17c0cba9c	30	False
afeba100d01d954264314869c6a87f93	30	False
6c5ffcb27d9578bd69a9dcd962deb2ad	30	False
b445037f5de8cbe75d18af387d859348	27	False
edf6bed3c3ceed86ff7998d29c6090ff	26	False
42cccfe4b8f4e76baf1ffed66c24aec1	25	False
a2275ae00374f2550b0bdd75fce20339	25	False
9020044e2ae467e43fce6cff54fa6a87	24	False
ec4a6b96c07346e593e8643664593151	22	False
60af4bff06166ebf538e73b888abb152	21	False
a1201882fe9fb6dc4db3a401d54205a2	21	False
6cff406ea24640f16d1ed286b7d800d6	20	False
396f1e1f9113f3b237796fc7b1ef0336	20	False
33ce6a761c784f658d08fdb1656f7edc	20	False
735334ca973244da6ea6fefce9a84a63	20	False
109359c63b38e7b9d2ed828218baa576	19	False
6a6d919fccc63071631aca4c5596d2a6	18	False
94bc381a4b0dd8550ddf4ecc0746b48e	18	False
27f47fe7ab3f9644b8902b123514b0e3	18	False
5d54f98c32ce0e30b3f2412e81463734	18	False
47d311ea0c5c431d5da2acba597a90bd	18	False
401d458afb661d9fa2f4773fa3dff473	18	False
c35bd39b35178be26bab4493455e3b22	18	False
d02c9c05557c27c51062b1b06495d2c5	18	False
9abc4c786f04c66b45aee7ba8ee49ecc	18	False
9bea4e664f2adadcffd9274461920ca0	18	False
e24d7152d796dc4c403284d73da3ea2d	18	False
7b98dcb4e51370be89148caf318d8d1f	17	False
a04d5f730fdaec518d1f863df4402027	17	False
9540015c1657f866ca7c02438ffb3756	17	False
61d3ca0bb81b36514c35cb74aa710be4	17	False
923f91e2b9aa56c0d9535fd22891106b	17	False
dbbe3b582851833ed578227c444bb125	17	False
40c218182f44cc1d8451c0eb58959451	17	False
1909f35ab29dc2a29c3f290604ed62e6	17	False
cc0d88e6241c0fc36a3357094127562f	17	False
8c9919ec912d3d4233bb0ec1842f1486	17	False
ba0ba13741f7be4a9e6ecca5e2ea2e3d	17	False
c34dd818fe2e6bc94f27c0d198fa44dd	17	False
9db004e1d0b987e6f9d28ea9930a2606	17	False
e094f9b28cded02f09fa4caa3e91aecd	17	False
8788b4399c48bf58d55ad210c17a7886	17	False
58dcb3452b565ee4345e688ae7dbce41	17	False
23c7e51751b00e308fe4978b5b930bca	17	False
