	W	Reject null hypothesis
Bacteria;Firmicutes;Bacilli;Lactobacillales;Catellicoccaceae	261	True
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae	259	True
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	219	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae	217	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Stappiaceae	216	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Sanguibacteraceae	210	False
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	208	False
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae	208	False
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	207	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae	199	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae	191	False
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	182	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae	178	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae	166	False
Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chloroplast	164	False
Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae	150	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae	148	False
Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae	136	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae	133	False
Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae	128	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae	124	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae	123	False
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	114	False
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae	111	False
Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;HOC36	105	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	104	False
Bacteria;Proteobacteria;Gammaproteobacteria;uncultured;uncultured	89	False
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae	84	False
Bacteria;Proteobacteria;Gammaproteobacteria;FGL7S;FGL7S	84	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae	83	False
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae	67	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae	60	False
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae	53	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cytophagaceae	48	False
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae	43	False
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	43	False
Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group	38	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae	37	False
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Dietziaceae	36	False
Bacteria;Gemmatimonadota;BD2-11_terrestrial_group;BD2-11_terrestrial_group;BD2-11_terrestrial_group	35	False
Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;Azospirillaceae	34	False
Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae	34	False
Bacteria;Firmicutes;Clostridia;Clostridia;Hungateiclostridiaceae	34	False
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae	32	False
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	32	False
Bacteria;Proteobacteria;Gammaproteobacteria;Granulosicoccales;Granulosicoccaceae	31	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae	31	False
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae	31	False
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae	31	False
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28;B2M28	30	False
Bacteria;SAR324_clade(Marine_group_B);SAR324_clade(Marine_group_B);SAR324_clade(Marine_group_B);SAR324_clade(Marine_group_B)	28	False
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;uncultured	28	False
Bacteria;Proteobacteria;Gammaproteobacteria;Run-SP154;Run-SP154	28	False
Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales;uncultured	27	False
Bacteria;Proteobacteria;Gammaproteobacteria;EC3;EC3	27	False
Bacteria;Proteobacteria;Gammaproteobacteria;OM182_clade;OM182_clade	27	False
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae	27	False
Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;uncultured	27	False
Bacteria;WPS-2;WPS-2;WPS-2;WPS-2	27	False
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae	27	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5	27	False
Bacteria;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae	27	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales_Incertae_Sedis	27	False
Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae	26	False
Bacteria;Acidobacteriota;Subgroup_22;Subgroup_22;Subgroup_22	26	False
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae	26	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae	26	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae	26	False
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae	26	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae	26	False
Bacteria;Desulfobacterota;Desulfobaccia;Desulfobaccales;Desulfobaccaceae	25	False
Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;Kapabacteriales	25	False
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae	25	False
Bacteria;Patescibacteria;Gracilibacteria;Gracilibacteria;Gracilibacteria	25	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae	25	False
Bacteria;Patescibacteria;Gracilibacteria;Candidatus_Abawacabacteria;Candidatus_Abawacabacteria	25	False
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae	25	False
Bacteria;FW113;FW113;FW113;FW113	25	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae	25	False
Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae	25	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae	25	False
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae	25	False
Bacteria;Actinobacteriota;__;__;__	24	False
Bacteria;Bacteroidota;Bacteroidia;__;__	24	False
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae	24	False
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae	24	False
Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;Desulfarculaceae	23	False
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae	23	False
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae	23	False
