id	log	W
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae;Acidobacteriae	0.9999999999999999	20
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae	5.9192535356379015	19
Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;PAUC26f	1.0000000000000002	23
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae	0.9999999999999999	27
Bacteria;Acidobacteriota;Subgroup_11;Subgroup_11;Subgroup_11	1.0	13
Bacteria;Acidobacteriota;Subgroup_22;Subgroup_22;Subgroup_22	0.9999999999999996	26
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae	1.8371813664131926	6
Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured	1.900551923749248	8
Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;IMCC26256	1.0	8
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae	4.8202987246965305	8
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae	2.7894236244338426	2
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae	7.0911321167616554	31
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured	1.7261095531658832	5
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae	1.2983099980959347	5
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	0.9750485475731288	1
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae	4.105515332542378	8
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Dietziaceae	8.078999275958548	36
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae	5.133027505311124	17
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae	1.3921960237598838	1
Bacteria;Actinobacteriota;Actinobacteria;Euzebyales;Euzebyaceae	2.160930589282234	13
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae	2.666352671048933	6
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae	58.08793493104262	208
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae	1.0000000000000002	7
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae	1.3522444012329389	10
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae	14.892580585997642	166
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae	0.6688166338207422	5
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae	16.45515127777519	191
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae	0.9999999999999998	20
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae	12.23298229662316	124
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae	13.487411016946302	178
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae	2.753537271429481	3
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	17.25163623572682	219
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Sanguibacteraceae	22.549271778362485	210
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;__	3.8515194349740516	9
Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae	2.66373872814746	5
Bacteria;Actinobacteriota;Actinobacteria;Nitriliruptorales;Nitriliruptoraceae	1.5727356941437702	13
Bacteria;Actinobacteriota;Actinobacteria;PeM15;PeM15	0.5685319747940517	4
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae	6.656760455469856	6
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae	1.5868415360604646	9
Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae	1.0000000000000004	10
Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae	0.6674114229788503	7
Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales;Streptosporangiaceae	0.6700222682691265	12
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae	15.111655516304687	148
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales_Incertae_Sedis	1.0000000000000002	27
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae	2.6557730175611143	10
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;uncultured	1.0	20
Bacteria;Actinobacteriota;Coriobacteriia;OPB41;OPB41	0.9999999999999993	18
Bacteria;Actinobacteriota;MB-A2-108;MB-A2-108;MB-A2-108	3.6721857659149815	9
Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae	3.444735012858781	8
Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;uncultured	3.827920313779252	9
