id	log	W
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae;Acidobacteriae;Paludibaculum	0.9999999999999999	20
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter	5.9192535356379015	22
Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;PAUC26f;PAUC26f	1.0000000000000002	25
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella	0.9999999999999999	32
Bacteria;Acidobacteriota;Subgroup_11;Subgroup_11;Subgroup_11;Subgroup_11	1.0	14
Bacteria;Acidobacteriota;Subgroup_22;Subgroup_22;Subgroup_22;Subgroup_22	0.9999999999999996	29
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup_10	1.678016579556773	9
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup_23	2.1047112192708415	19
Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured;uncultured	1.900551923749248	7
Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;IMCC26256;IMCC26256	1.0	13
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia	4.8202987246965305	11
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29_marine_group	1.0000000000000002	14
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	2.489878510326393	0
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;uncultured	5.4307186878344345	15
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996_marine_group	5.643141437973311	24
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured	3.2099304457947793	14
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured;uncultured	1.7261095531658832	9
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	2.6055828943430934	21
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum	0.7060934248129961	6
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0.9750485475731288	5
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium	4.105515332542378	8
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia	8.078999275958548	44
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	5.133027505311124	15
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus	0.9572224204205778	2
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia	1.5146767117727649	5
Bacteria;Actinobacteriota;Actinobacteria;Euzebyales;Euzebyaceae;Euzebya	2.160930589282234	14
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus	0.9999999999999992	11
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;__	1.0000000000000002	9
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella	58.08793493104262	397
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera	1.0000000000000002	10
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium	1.3522444012329389	9
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea	1.0000000000000004	22
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas	3.602699372756759	12
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Oerskovia	13.35818843053172	190
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae;Demequina	0.6688166338207422	7
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium	16.45515127777519	304
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Yimella	0.9999999999999998	25
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;Dermatophilaceae	12.861177027962299	72
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;__	1.0000000000000002	22
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;uncultured	2.6461768914773236	18
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Arsenicicoccus	0.9999999999999991	24
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Ornithinibacter	15.504428562622216	316
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Ornithinimicrobium	4.183316887990217	7
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;__	6.59510821723814	11
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;uncultured	2.884350838979854	10
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces	0.7701149425287356	14
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Cryobacterium	1.0000000000000004	20
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium	1.165568848977271	5
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;__	4.805658077602437	4
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter	16.533934925027932	318
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Glutamicibacter	19.567374222596182	412
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria	6.456212722644299	16
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Nesterenkonia	1.0	10
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Paeniglutamicibacter	1.7260602201155248	11
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter	1.0000000000000007	11
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Rothia	0.5606981102328465	2
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;__	16.929281881302735	275
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Sanguibacteraceae;Sanguibacter	22.549271778362485	400
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;__;__	3.8515194349740516	14
Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	1.0000000000000002	11
Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae;__	2.650099530811633	11
Bacteria;Actinobacteriota;Actinobacteria;Nitriliruptorales;Nitriliruptoraceae;Nitriliruptoraceae	1.5727356941437702	11
Bacteria;Actinobacteriota;Actinobacteria;PeM15;PeM15;PeM15	0.5685319747940517	4
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium	1.1002024853756216	2
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola	9.438718196618533	37
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	7.034522023839655	10
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;__	5.301575850054602	14
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Tessaracoccus	15.221978973833874	284
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;uncultured	4.18147155067874	14
Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinomycetospora	1.0000000000000004	11
