id	log	W
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine Group II;D_4__uncultured haloarchaeon	1.0000000000000007	1
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrososphaerales;D_4__Nitrososphaeraceae	0.8574226010620063	0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1)	0.9999999999999999	1
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Blastocatellales;D_4__Blastocatellaceae	1.0000000000000004	1
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Pyrinomonadales;D_4__Pyrinomonadaceae	0.3525033098028013	0
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae;D_3__Subgroup 7;D_4__uncultured bacterium	1.0000000000000002	0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6;__;__	1.6974420395641994	0
D_0__Bacteria;D_1__Actinobacteria;D_2__0319-7L14;D_3__uncultured actinobacterium;D_4__uncultured actinobacterium	1.0000000000000007	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__IMCC26256;__	3.875875955218598	2
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Mycobacteriaceae	2.1444139679404817	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Geodermatophilaceae	0.9999999999999998	1
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae	0.9999999999999997	1
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae	15.087909570435546	2
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Nocardioidaceae	0.9999999999999994	1
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptomycetales;D_4__Streptomycetaceae	0.6722961072018182	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptosporangiales;D_4__Thermomonosporaceae	0.9999999999999999	1
D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108;Ambiguous_taxa;Ambiguous_taxa	0.6676628267984005	0
D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108;D_3__uncultured alpha proteobacterium;D_4__uncultured alpha proteobacterium	1.0000000000000004	0
