	W	Reject null hypothesis
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	243	True
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Sanguibacteraceae	234	True
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	224	True
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae	223	True
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae	215	False
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	213	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae	212	False
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	208	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	207	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae	196	False
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae	188	False
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae	184	False
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae	183	False
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	156	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae	149	False
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae	138	False
Bacteria;Proteobacteria;Gammaproteobacteria;Granulosicoccales;Granulosicoccaceae	138	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae	134	False
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae	44	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae	39	False
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Dietziaceae	31	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae	30	False
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_Incertae_Sedis;Unknown_Family	27	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae	27	False
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae	22	False
Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae	21	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae	20	False
Bacteria;Proteobacteria;Alphaproteobacteria;Tistrellales;Geminicoccaceae	20	False
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	19	False
Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae	18	False
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae	18	False
Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;Kapabacteriales	18	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae	18	False
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae	17	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured	17	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae	17	False
Bacteria;Proteobacteria;Gammaproteobacteria;EC3;EC3	17	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae	17	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5	17	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae	17	False
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae	17	False
Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;uncultured	17	False
Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;Desulfarculaceae	17	False
Bacteria;Bacteroidota;Bacteroidia;__;__	17	False
Bacteria;FW113;FW113;FW113;FW113	17	False
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae	17	False
Bacteria;Actinobacteriota;__;__;__	17	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	17	False
Bacteria;Patescibacteria;Gracilibacteria;Gracilibacteria;Gracilibacteria	17	False
Bacteria;Proteobacteria;Zetaproteobacteria;Mariprofundales;Mariprofundaceae	17	False
Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;Azospirillaceae	17	False
Bacteria;WPS-2;WPS-2;WPS-2;WPS-2	17	False
Bacteria;Proteobacteria;Gammaproteobacteria;OM182_clade;OM182_clade	17	False
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae	17	False
Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;PAUC26f	17	False
Bacteria;Proteobacteria;Gammaproteobacteria;PLTA13;PLTA13	17	False
Bacteria;Proteobacteria;Gammaproteobacteria;Run-SP154;Run-SP154	17	False
Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales;uncultured	17	False
Bacteria;SAR324_clade(Marine_group_B);SAR324_clade(Marine_group_B);SAR324_clade(Marine_group_B);SAR324_clade(Marine_group_B)	17	False
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae	17	False
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae	17	False
Bacteria;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae	17	False
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae	16	False
Bacteria;Patescibacteria;Gracilibacteria;Candidatus_Abawacabacteria;Candidatus_Abawacabacteria	16	False
Bacteria;Desulfobacterota;Desulfobaccia;Desulfobaccales;Desulfobaccaceae	16	False
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767	16	False
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;KD3-93	16	False
Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae	16	False
