id	log	W
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae;Acidobacteriae	1.0000000000000002	15
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae	3.827308819711046	13
Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;PAUC26f	1.0000000000000002	17
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae	0.9999999999999998	18
Bacteria;Acidobacteriota;Subgroup_11;Subgroup_11;Subgroup_11	1.0	15
Bacteria;Acidobacteriota;Subgroup_22;Subgroup_22;Subgroup_22	0.9999999999999996	16
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae	0.005978599659274871	8
Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured	0.35580496017806285	10
Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;IMCC26256	1.0000000000000002	13
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae	12.86985474801414	15
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae	3.724683619184182	12
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae	8.664393323743539	17
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured	0.05663869426633355	8
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae	0.3522818295014427	3
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	3.290202774419561	5
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae	5.769306814401915	6
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Dietziaceae	17.2840261474154	31
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae	6.350362842676655	13
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae	1.2137753470019037	1
Bacteria;Actinobacteriota;Actinobacteria;Euzebyales;Euzebyaceae	5.458801916541751	15
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae	2.24980129379882	9
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae	7.9105424450752455	12
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae	1.0	13
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae	0.3684349538307735	7
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae	29.061359857245886	196
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae	0.0064499014622269885	8
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae	55.23758156639638	212
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae	0.9999999999999999	13
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae	5.441453912010952	5
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae	32.3796641784609	223
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae	0.004982179343868289	2
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	53.07654111507645	243
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Sanguibacteraceae	60.96779275245457	234
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;__	5.712550410088753	5
Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae	2.2481466551733416	8
Bacteria;Actinobacteriota;Actinobacteria;Nitriliruptorales;Nitriliruptoraceae	3.8063252431545425	15
Bacteria;Actinobacteriota;Actinobacteria;PeM15;PeM15	0.00334024386014022	2
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae	15.62927695617081	9
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae	0.11564014085150062	3
Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae	0.9999999999999998	15
Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae	0.0022342689365505816	9
Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales;Streptosporangiaceae	0.01006680480737925	13
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae	2.363834587130919	7
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales_Incertae_Sedis	1.0	16
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae	2.243099315146701	11
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;uncultured	1.0000000000000002	16
Bacteria;Actinobacteriota;Coriobacteriia;OPB41;OPB41	0.9999999999999998	13
Bacteria;Actinobacteriota;MB-A2-108;MB-A2-108;MB-A2-108	2.00765562964714	6
Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae	4.023252562300412	9
Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;uncultured	0.5417132925913787	11
Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14	0.04898689955804951	8
Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae	5.956376125331385	13
Bacteria;Actinobacteriota;__;__;__	0.9999999999999996	17
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	9.771866815096821	15
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes_BD2-2	3.5302325500951897	13
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae	1.9756097560975618	15
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae	3.745189746984001	13
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae	1.0000000000000002	17
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae	0.9999999999999998	16
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	3.7173516007206118	15
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	2.0011693655756315	9
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae	0.0028628206019298027	15
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	3.0910352155484087	13
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5	0.9999999999999996	17
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	2.2059254241958794	13
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;__	3.4372769741280855	13
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;uncultured	0.9999999999999997	14
Bacteria;Bacteroidota;Bacteroidia;Bacteroidetes_VC2.1_Bac22;Bacteroidetes_VC2.1_Bac22	1.0000000000000002	15
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae	24.619622468258434	183
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae	1.3549431999645272	11
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Amoebophilaceae	2.177021173003817	15
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae	0.6924629064186486	10
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cytophagaceae	5.350889841887502	6
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae	7.652881361373438	13
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae	5.550912760525535	13
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae	5.9037983088720125	9
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;uncultured	1.0	15
