id	log	W
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae;Acidobacteriae;Paludibaculum	1.0000000000000002	13
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter	3.827308819711046	5
Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;PAUC26f;PAUC26f	1.0000000000000002	14
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella	0.9999999999999998	16
Bacteria;Acidobacteriota;Subgroup_11;Subgroup_11;Subgroup_11;Subgroup_11	1.0	10
Bacteria;Acidobacteriota;Subgroup_22;Subgroup_22;Subgroup_22;Subgroup_22	0.9999999999999996	14
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup_10	0.10755002544687735	6
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup_23	1.8746108188932946	15
Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured;uncultured	0.35580496017806285	9
Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;IMCC26256;IMCC26256	1.0000000000000002	7
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia	12.86985474801414	19
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29_marine_group	1.0000000000000002	11
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	5.0608569485694535	14
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;uncultured	3.6391550836949853	0
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996_marine_group	3.722623061020203	15
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured	5.8509220612465604	15
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured;uncultured	0.05663869426633355	5
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	2.211122790959087	5
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum	0.0277237193066938	2
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	3.290202774419561	1
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium	5.769306814401915	1
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia	17.2840261474154	31
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	6.350362842676655	8
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus	2.9555775362564214	0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia	0.010913375481437358	2
