	W	Reject null hypothesis
a3bb4aa1535bd97a25736bb9866b9724	3910	True
8762da60c60c397314465053f0626562	3910	True
c7e794bdca3d46ff5c407ae6922438aa	3910	True
66e03965dee4bbaa754dd6bc1994a37c	3910	True
4607cd88fc3408be0d680d303a08e1a8	3910	True
f1ffa85f5fcfe5073b01d2b0f6866f62	3910	True
dad823959a7d39d6e2c5e1e6b4bf967d	3910	True
1d402c985187eca6806c01d36979df8b	3910	True
6a5dbdb79472f37bb7304b6ff77bd99d	3910	True
4b98641a40de09fae2f398435b02e3f4	3910	True
5768fa9efd831c275b30ef486d498c51	3910	True
e5998905e686ea03811afe644dc8ddfe	3910	True
927d08543f54ffe263a55b0a28ddc419	3910	True
4beb5fb05041d0fbb647a0751f0b5d99	3909	True
5411db6e9ebb14be49e0e7b6fd150cd6	3909	True
880c26aec0d0a8c67e5383fa8a736e7a	3909	True
33242846420fa5eb44f0bf24fc6b4cdb	3909	True
5304d858de0226438b86aabd4bd61734	3909	True
94b4f05daa9b0bf4b01543348b23ace2	3909	True
0d0318b3110cd6b24e5aa443eaf60aaa	3909	True
acc3b7aa01aa9927f7583ea701c0a39c	3908	True
ddb72b6dfd0bf4e0a1f6867e78a91882	3908	True
c227d7da6c4cdbfdb20958489537ec59	3908	True
bff1badcb1aeae026e4986afd5eb78d8	3908	True
2d8dd65319b0799399f5c485e2f3b8c9	3908	True
844341b2d357055702aa718119de9b17	3908	True
0d70aa0c3238aeda67fd041359195d91	3908	True
099bc502c22f463731bddbe22b5c5f21	3908	True
0b73120b5be6ef67283076582218c3f7	3908	True
74db4925c6edc1b77ea6c084d12d482e	3908	True
5c6d64848597a9fcf47cbb40c6ea960d	3907	True
665968ab392354b08d090b401bf66fa9	3907	True
0d7a84640e2f2350210162714f47db36	3907	True
dc98bb08cbb4eeec6cfce7c5bc9f7989	3907	True
4e8f46b3ac95b522e3b695b86420bf1d	3907	True
61f06c7bb0327524e3e4d3ad2f93dfd3	3907	True
e1546009eb1f27f1ffa336f6fe78bc94	3906	True
f88d62ab63824be63ad7be88f0c8816b	3906	True
2d5617f4c824919bd23a138296808bfe	3906	True
0cc047568d6412c9f376cf2ba66bc55d	3906	True
83d0569d6719dc4f23de9d187a4cdd22	3906	True
e2711c009de978ca6329b1303e07307e	3906	True
5dad44c94af9b0d1f9e005e4837694de	3906	True
fa0d72b61bf545e03232c9ef69dffda7	3906	True
f563b143d6e44e2b5432423b42ff81d6	3906	True
207d16505d1b207909c27df0051c82e0	3906	True
0d99419e220a684d4b2a814ca933a860	3905	True
37e772d11a486e8830cb6a53a5a8d7d2	3905	True
b3d8412d847be42fc43fc54a08b0f40a	3905	True
24abeb621461003c3f220fea88757449	3904	True
fa0979ee15e1b5a73b9c88bb5532cbf4	3904	True
a4b90fcfcbacade34938c115837b4326	3904	True
0acec11512df9bc536b84c471bd2d9eb	3903	True
e21169e6f924ff0d0ef436f8488477b6	3903	True
62ca9149a9bfc4549a4aa2f879c1c6df	3903	True
c2f0f54736906030f078c9b503eacab4	3902	True
4e7bacb91cea2b3a64f6d5cd26cda2c9	3902	True
79fcc413bfacf52a460edb982bb7f052	3902	True
a7d738003a66358d771c97697c997d9a	3901	True
c7a5874c9f91306af7d18f94d6b07471	3901	True
7cac418598a71b56f063261ca0915e17	3901	True
bfaf272e9c4b6c2371971d7253ccfaec	3901	True
5863f747dfe7e00d5df859ca4f21b58d	3900	True
3fdc103ab56b99429f56d8c303b36aa4	3900	True
85606be76c24327fcbfe152bade2d103	3900	True
c6b3dd13d885f9cf596a0ccc7a80900b	3899	True
ec26217dc0d96bc63829067c92f8cf04	3899	True
