sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Cpa0h1	91969	73026	79.4	72214	67309	73.19	65065	70.75
Cpa0h2	55731	41121	73.78	40976	40542	72.75	40476	72.63
Cpa15j1	85757	68505	79.88	66616	50680	59.1	39035	45.52
Cpa15j2	90249	72860	80.73	70937	55202	61.17	46065	51.04
Cpa15j3	88152	70807	80.32	68451	47499	53.88	33357	37.84
Cpa18h1	80593	63618	78.94	62488	55143	68.42	52258	64.84
Cpa18h2	62817	49969	79.55	49463	44380	70.65	42017	66.89
Cpa18h3	64929	49632	76.44	48593	41671	64.18	40325	62.11
Cpa21j1	99798	80600	80.76	78486	57479	57.6	46912	47.01
Cpa21j2	84009	66811	79.53	65119	49369	58.77	40837	48.61
Cpa21j3	80836	64184	79.4	62279	46663	57.73	39186	48.48
Cpa24h1	60599	49318	81.38	48184	41333	68.21	25644	42.32
Cpa24h2	90504	74419	82.23	73000	63724	70.41	42795	47.29
Cpa24h3	76305	61539	80.65	60005	52474	68.77	35854	46.99
Cpa5j1	83734	66354	79.24	63817	46877	55.98	37594	44.9
Cpa5j2	68992	54689	79.27	52464	39293	56.95	34435	49.91
Cpa5j3	79427	60864	76.63	58737	43409	54.65	35575	44.79
Cpa8j1	66607	53616	80.5	51472	38877	58.37	35260	52.94
Cpa8j2	88547	71572	80.83	69671	54119	61.12	44745	50.53
Cpa8j3	74202	60221	81.16	58897	51271	69.1	49415	66.6
Cpet0h1	92324	66997	72.57	66950	66737	72.29	66312	71.83
Cpet0h2	83277	59407	71.34	59372	59193	71.08	59017	70.87
Cpet15j1	80944	64305	79.44	62182	45312	55.98	36841	45.51
Cpet15j2	82441	66772	80.99	64757	47438	57.54	36661	44.47
Cpet15j3	85378	65950	77.24	64004	47458	55.59	38542	45.14
Cpet18h1	55131	44430	80.59	42307	32244	58.49	27343	49.6
Cpet18h2	57601	46684	81.05	45951	40161	69.72	38003	65.98
Cpet18h3	54484	42924	78.78	40913	31474	57.77	24347	44.69
Cpet21j1	91480	74018	80.91	71556	49740	54.37	42362	46.31
Cpet21j2	84160	67340	80.01	65313	48163	57.23	40248	47.82
Cpet21j3	71381	57996	81.25	56596	42674	59.78	36335	50.9
Cpet24h1	57300	46023	80.32	43625	32315	56.4	22114	38.59
Cpet24h2	65401	52324	80	51348	44382	67.86	29382	44.93
Cpet24h3	61121	49092	80.32	47822	39415	64.49	23591	38.6
Cpet5j1	62117	49000	78.88	46766	32627	52.53	26232	42.23
Cpet5j2	55646	44961	80.8	43579	33567	60.32	28647	51.48
Cpet5j3	65490	52573	80.28	51693	44569	68.05	41490	63.35
Cpet8j1	74045	60164	81.25	58028	42715	57.69	36507	49.3
Cpet8j2	68218	54068	79.26	52270	41616	61	38620	56.61
Cpet8j3	67367	54454	80.83	52808	42037	62.4	37562	55.76
Ppa0h1	636	219	34.43	102	26	4.09	26	4.09
Ppa0h2	428	162	37.85	151	142	33.18	142	33.18
Ppa15j1	93956	73923	78.68	73800	72622	77.29	72229	76.88
Ppa15j2	90161	73716	81.76	73225	68828	76.34	66847	74.14
Ppa15j3	90338	72526	80.28	72232	70011	77.5	69382	76.8
Ppa18h1	72467	58090	80.16	57506	53083	73.25	48576	67.03
Ppa18h2	79463	63342	79.71	62432	56845	71.54	53230	66.99
Ppa18h3	89598	72190	80.57	71639	66287	73.98	59672	66.6
Ppa21j1	73759	60859	82.51	60291	56115	76.08	54381	73.73
Ppa21j2	98272	80070	81.48	78896	69329	70.55	64404	65.54
Ppa21j3	104588	85423	81.68	84801	79363	75.88	76914	73.54
Ppa24h1	86914	70590	81.22	69846	64713	74.46	51373	59.11
Ppa24h2	72955	58289	79.9	57377	53146	72.85	46452	63.67
Ppa24h3	82675	67171	81.25	66029	60321	72.96	49267	59.59
Ppa5j1	76200	61593	80.83	61109	56893	74.66	55326	72.61
Ppa5j2	80043	65187	81.44	64605	60124	75.11	57822	72.24
Ppa5j3	82477	65305	79.18	64655	57933	70.24	55460	67.24
Ppa8j1	79665	64796	81.34	64539	62020	77.85	60602	76.07
Ppa8j2	101363	81781	80.68	81351	77706	76.66	76400	75.37
Ppet15j1	100709	79056	78.5	78301	71498	70.99	69147	68.66
Ppet15j2	83883	67203	80.12	66816	62769	74.83	61046	72.78
Ppet15j3	81586	65781	80.63	65490	62441	76.53	61256	75.08
Ppet18h1	81044	65659	81.02	64869	59388	73.28	54782	67.6
Ppet18h2	88920	70917	79.75	70541	65393	73.54	61670	69.35
Ppet18h3	74076	59855	80.8	59229	54673	73.81	50014	67.52
Ppet21j1	77205	59732	77.37	59376	56426	73.09	54621	70.75
Ppet21j2	75793	61501	81.14	61028	57060	75.28	55282	72.94
Ppet21j3	89977	72994	81.13	72309	66608	74.03	63913	71.03
Ppet24h1	96526	78859	81.7	77578	69921	72.44	57567	59.64
Ppet24h2	93645	76689	81.89	75713	67819	72.42	51047	54.51
Ppet24h3	88496	71392	80.67	70617	65374	73.87	54540	61.63
Ppet5j1	75991	60378	79.45	59484	53995	71.05	52648	69.28
Ppet5j2	79862	64550	80.83	63964	57991	72.61	55154	69.06
Ppet5j3	78845	62457	79.21	62071	57544	72.98	55555	70.46
Ppet8j1	70950	57381	80.88	56742	51887	73.13	50291	70.88
Ppet8j2	77397	60558	78.24	60273	57603	74.43	56266	72.7
Ppet8j3	84345	68367	81.06	67977	64442	76.4	63107	74.82
