Sample name,Sequence count
Ppa21j3,130863
Cpa21j1,124691
Ppa8j2,123694
Ppet24h1,122781
Ppa21j2,121755
Ppet24h2,116843
Cpet0h1,115301
Cpa0h1,114873
Cpa24h2,113387
Ppa18h3,112198
Ppet18h2,111301
Cpet21j1,111223
Ppet24h3,111138
Ppa24h1,110693
Cpa8j2,109932
Cpet21j2,107452
Cpa5j3,106267
Ppet21j3,105966
Cpet0h2,105040
Ppa24h3,103861
Cpa5j1,102661
Cpa18h1,101154
Cpa21j2,100111
Ppa5j3,99433
Ppet8j3,99354
Cpa21j3,99287
Ppet18h1,98861
Ppa5j2,98125
Cpa24h3,97337
Ppet21j1,96760
Ppa8j1,95992
Ppet8j2,95711
Ppet5j3,95186
Ppa18h2,95150
Ppet5j2,94932
Ppa5j1,92723
Cpet8j1,91957
Ppet21j2,91938
Cpa8j3,91468
Ppet5j1,90401
Ppa21j1,89138
Ppet18h3,89068
Ppa24h2,87862
Cpet24h2,87577
Ppa18h1,86806
Cpa5j2,85441
Ppet8j1,85213
Cpet21j3,84245
Cpet8j3,83393
Cpet8j2,83154
Cpa18h3,81677
Cpa8j1,79816
Cpet5j3,78998
Cpa18h2,76689
Cpa24h1,75270
Cpet24h3,75132
Cpet5j1,73800
Cpet24h1,72128
Cpet18h2,71916
Cpa0h2,69510
Cpet5j2,68501
Cpet18h1,67887
Cpet18h3,67746
Ppa15j3,50311
Cpa15j1,50261
Cpa15j3,50230
Ppet15j2,50038
Ppet15j1,49987
Ppa15j1,49984
Ppa15j2,49850
Cpa15j2,49830
Cpet15j3,49699
Ppet15j3,49614
Cpet15j1,48929
Cpet15j2,48414
Ppa0h2,3965
Ppa0h1,2403
